sample;label
Estou muito feliz com essa notícia!; positive
Me sinto triste quando penso nele(a); negative
Fico com muita raiva quando ele(a) mente para mim; negative
Amo passar tempo com meus amigos; positive
Essa música me deixa alegre; positive
Chorei de tristeza ao saber da notícia; negative
Não aguento mais sentir tanta raiva; negative
Amo você mais do que tudo nesse mundo; positive
Ver o pôr do sol me enche de alegria; positive
Sinto uma tristeza profunda com a partida dele(a); negative
A injustiça me deixa com muita raiva; negative
Não há palavras para expressar o amor que sinto por você; positive
Estou tão feliz hoje!; positive
Estou com o coração partido.; negative
Adoro passar tempo com meus amigos.; positive
Sinto-me triste e desanimado.; negative
A vida é maravilhosa.; positive
Sinto-me incompreendido e sozinho.; negative
Estou orgulhoso das minhas conquistas.; positive
Estou tão frustrado com essa situação.; negative
Amo a sensação de estar apaixonado.; positive
Sinto-me ansioso e preocupado.; negative
Estou grato pela vida que tenho.; positive
Sinto-me magoado e ressentido.; negative
Estou entusiasmado com o futuro.; positive
Estou tão cansado e esgotado.; negative
Adoro experimentar coisas novas.; positive
Sinto-me desmotivado e desesperançoso.; negative
Estou completamente realizado.; positive
Estou me sentindo deprimido.; negative
Estou radiante de alegria.; positive
Sinto-me irritado e frustrado.; negative
Me sinto muito feliz quando penso nas minhas gatas; positive
Eu estou muito feliz hoje!; positive
Eu não estou satisfeito com esse serviço.; negative
Você é uma pessoa maravilhosa.; positive
Essa comida está fria e sem sabor.; negative
Estou empolgado para a festa de amanhã.; positive
Não consigo entender o que você está dizendo.; negative
Eu consegui alcançar meus objetivos.; positive
A viagem foi cancelada devido ao mau tempo.; negative
Estou orgulhoso do meu trabalho.; positive
Esqueci de pagar a conta de luz novamente.; negative
Estou muito grato pelas oportunidades que recebi.; positive
Não suporto esse barulho constante.; negative
Ela é uma pessoa muito talentosa.; positive
Essa música me deixa triste.; negative
Eu venci a competição!; positive
Essa notícia é desanimadora.; negative
Estou animado para o final de semana.; positive
Meu carro quebrou no meio da estrada.; negative
Gosto muito de passar tempo com a minha família.; positive
Não consigo lidar com tanto estresse.; negative
Hoje está um lindo dia de sol; positive
Não gosto de acordar cedo; negative
Estou muito feliz com minha conquista; positive
Perdi o ônibus e vou atrasar para o trabalho; negative
Adoro passar um tempo com minha família; positive
A comida do restaurante estava muito ruim; negative
Consegui encontrar o livro que tanto queria; positive
Estou cansado de estudar tanto; negative
Ganhei um presente surpresa; positive
O trânsito estava terrível hoje; negative
Consegui resolver meu problema no trabalho; positive
Não gosto de comer legumes; negative
A praia estava linda e vazia; positive
Não tive tempo para descansar no final de semana; negative
Encontrei meu amigo que não via há muito tempo; positive
Estou com dor de cabeça; negative
Hoje é meu aniversário, estou radiante de alegria!; positive
Quebrei meu celular, estou chateado.; negative
Fui promovido no trabalho, estou muito feliz!; positive
Perdi meu voo e não consigo viajar; negative
Estou ansioso para começar um novo desafio na minha carreira, como gerente de projetos.; positive
O mercado de trabalho está saturado, eu nunca vou encontrar um emprego.; negative
